交易日期,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交資料(張數),成交資料(筆數),成交資料(均張),成交資料(億元),法人買賣超(張)(外資),法人買賣超(張)(投信),法人買賣超(張)(自營),法人買賣超(張)(合計),外資持股(%),融資(張)(增減),融資(張)(餘額),融券(張)(增減),融券(張)(餘額),券資比(%)
'26/03/26,54.2,54.3,53.7,54,+0.2,+0.37,1.12,"1,552","2,562",0.61,0.84,+673,-9,+8.25,+672,,,,,,
'26/03/25,54.3,54.3,53.1,53.8,-0.1,-0.19,2.23,"2,279","3,994",0.57,1.22,+451,-752,+71.7,-229,11,+27,"1,052",0,0,0
'26/03/24,54.3,54.3,53.7,53.9,-0.1,-0.19,1.11,"1,591","1,805",0.88,0.86,+630,-3,-11,+616,11,+6,"1,025",0,0,0
'26/03/23,53,54.3,52.8,54,+0.2,+0.37,2.79,"2,316","2,327",1,1.25,+955,-3,-50,+902,10.9,-15,"1,019",0,0,0
'26/03/20,53.1,53.9,53.1,53.8,+0.7,+1.32,1.51,"1,857","1,744",1.06,0.99,+439,+1.29,-12,+428,10.8,-9,"1,034",-5,0,0
'26/03/19,53.5,53.6,52.8,53.1,-0.4,-0.75,1.5,"2,641","3,305",0.8,1.4,+834,"-1,058",+19.4,-204,10.8,-67,"1,043",-4,5,0.48
'26/03/18,54.3,54.5,53.5,53.5,-0.6,-1.11,1.85,"2,324","3,165",0.73,1.25,-187,-191,+56,-322,10.7,+17,"1,110",-3,9,0.81
'26/03/17,54,54.2,53.4,54.1,+0.4,+0.74,1.49,"3,181","2,766",1.15,1.71,+923,-28,+79.3,+974,10.7,+39,"1,093",0,12,1.1
'26/03/16,52.9,53.7,52.8,53.7,+0.8,+1.51,1.7,"2,429","2,395",1.01,1.3,"+1,176",-31,-11,"+1,134",10.6,-43,"1,054",+2,12,1.14
'26/03/13,52.9,53.4,52.7,52.9,0,0,1.32,"2,324","2,934",0.79,1.23,+507,-15,-10.8,+481,10.5,+5,"1,097",+2,10,0.91
'26/03/12,52.3,53.7,52.3,52.9,+1.2,+2.32,2.71,"4,588","4,265",1.08,2.43,"+1,433",-232,-31.8,"+1,169",10.4,-20,"1,092",+2,8,0.73
'26/03/11,51.5,52.1,51.5,51.7,+0.3,+0.58,1.17,"2,118","1,648",1.29,1.1,+8,-25,-62,-79,10.3,-22,"1,112",0,6,0.54
'26/03/10,51.5,51.8,51.2,51.4,+0.1,+0.19,1.17,"1,285","1,153",1.11,0.66,+147,-8,+1,+140,10.3,0,"1,134",0,6,0.53
'26/03/09,50.4,51.6,50.4,51.3,0,0,2.34,"2,481","2,276",1.09,1.27,+577,0,-91,+486,10.3,+4,"1,134",0,6,0.53
'26/03/06,50.5,51.5,50.2,51.3,+0.9,+1.79,2.58,"1,497","1,334",1.12,0.76,+527,-27,+4.67,+505,10.2,-10,"1,130",0,6,0.53
'26/03/05,50.8,51.1,50.4,50.4,0,0,1.39,"1,820","1,886",0.97,0.92,-297,-323,-39.1,-659,10.1,+2,"1,140",+1,6,0.53
'26/03/04,51.1,51.1,50.4,50.4,-0.8,-1.56,1.37,"2,658","2,709",0.98,1.34,-722,-69,+8.57,-782,10.2,+7,"1,138",0,5,0.44
'26/03/03,51.3,51.4,51,51.2,-0.2,-0.39,0.78,"1,097","1,977",0.55,0.56,+172,0,-22.2,+150,10.2,-34,"1,131",0,5,0.44
'26/03/02,50.8,51.6,50.6,51.4,+0.5,+0.98,1.96,"1,422","1,427",1,0.73,+638,-62,+1.15,+577,10.2,+6,"1,165",0,5,0.43
'26/02/26,51.2,51.3,50.9,50.9,-0.2,-0.39,0.78,"1,917","1,874",1.02,0.98,-514,-328,+1.71,-840,10.2,+39,"1,159",0,5,0.43
'26/02/25,51.3,51.4,51,51.1,-0.2,-0.39,0.78,"1,587","1,619",0.98,0.81,-159,-186,+10.8,-334,10.2,+34,"1,120",0,5,0.45
'26/02/24,51.9,51.9,51.3,51.3,-0.3,-0.58,1.16,"1,588","1,674",0.95,0.82,+95.3,-370,+13.8,-261,10.2,-5,"1,086",0,5,0.46
'26/02/23,51.8,52,51.4,51.6,+0.2,+0.39,1.17,"2,351","1,791",1.31,1.22,+557,-233,-1.15,+323,10.2,-24,"1,091",0,5,0.46
'26/02/11,51.1,51.5,51,51.4,+0.5,+0.98,0.98,"1,553","1,456",1.07,0.8,+498,-25,+57,+530,10.1,-15,"1,115",0,5,0.45
'26/02/10,50.7,51,50.5,50.9,+0.2,+0.39,0.99,"1,568","1,369",1.15,0.8,-146,-9,+38.5,-117,10.1,-8,"1,130",0,5,0.44
'26/02/09,51.2,51.2,50.7,50.7,-0.2,-0.39,0.98,"1,878","1,711",1.1,0.96,-16.8,-84,+6.9,-93.9,10.1,-18,"1,138",0,5,0.44
'26/02/06,51.3,51.3,50.5,50.9,-0.4,-0.78,1.56,"1,730","1,972",0.88,0.88,-765,-6,-8.52,-780,10.1,+3,"1,156",0,5,0.43
'26/02/05,51,51.6,51,51.3,+0.3,+0.59,1.18,"1,478","1,290",1.15,0.76,+621,-26,-7,+588,10.2,-2,"1,153",0,5,0.43
'26/02/04,50.7,51.2,50.6,51,+0.3,+0.59,1.18,"1,740","1,227",1.42,0.89,+219,-43,+12.6,+189,10.1,+8,"1,155",+5,5,0.43
'26/02/03,50.9,51.1,50.6,50.7,0,0,0.99,"1,522","1,378",1.1,0.77,-12.1,-33,+2.57,-42.5,10.1,-76,"1,147",0,0,0
'26/02/02,50.9,51,50.4,50.7,-0.2,-0.39,1.18,"2,129","2,080",1.02,1.08,-637,-47,-2.22,-686,10.1,-13,"1,223",0,0,0
'26/01/30,52,52,50.9,50.9,-0.8,-1.55,2.13,"1,882","1,629",1.16,0.96,-916,-45,+6.8,-954,10.1,-24,"1,236",0,0,0
'26/01/29,51.6,52.1,51.2,51.7,+0.2,+0.39,1.75,"1,754","1,304",1.35,0.91,+296,-47,-4,+245,10.2,-15,"1,260",0,0,0
'26/01/28,51.8,51.9,50.9,51.5,-0.2,-0.39,1.93,"2,641","2,210",1.2,1.36,"-1,247",-52,+30.9,"-1,268",10.2,+24,"1,275",-4,0,0
'26/01/27,52.4,53,51.6,51.7,-0.6,-1.15,2.68,"2,526","3,612",0.7,1.32,"-1,037",-173,-6.78,"-1,217",10.4,+60,"1,251",0,4,0.32
'26/01/26,52.3,52.6,52.1,52.3,0,0,0.96,"1,221","1,151",1.06,0.64,+302,+45,-10.9,+336,10.4,-68,"1,191",0,4,0.34
'26/01/23,52.5,52.6,52.1,52.3,-0.1,-0.19,0.95,821,"1,098",0.75,0.43,+329,-208,+5.76,+127,10.4,+4,"1,259",0,4,0.32
'26/01/22,52.2,52.5,52.1,52.4,+0.2,+0.38,0.77,"1,221","1,133",1.08,0.64,+555,-259,-7,+289,10.4,-5,"1,255",0,4,0.32
'26/01/21,52.2,52.3,52,52.2,+0.1,+0.19,0.58,"1,189","1,194",1,0.62,+292,-65,-37,+190,10.4,-5,"1,260",0,4,0.32
'26/01/20,52.1,52.5,52,52.1,-0.2,-0.38,0.96,973,"1,770",0.55,0.51,+89.4,-14,-22.4,+53,10.3,+2,"1,265",0,4,0.32
'26/01/19,52,53,51.9,52.3,+0.1,+0.19,2.11,"2,078","1,731",1.2,1.09,+745,-454,-24,+267,10.3,+1,"1,263",+2,4,0.32
'26/01/16,52.5,52.5,52,52.2,-0.2,-0.38,0.95,"1,186","1,255",0.94,0.62,-3.67,-110,+1,-113,10.2,-1,"1,262",0,2,0.16
'26/01/15,51.8,52.4,51.8,52.4,+0.6,+1.16,1.16,972,"1,032",0.94,0.51,+412,-66,+1,+347,10.2,-56,"1,263",0,2,0.16
'26/01/14,52,52.1,51.8,51.8,+0.1,+0.19,0.58,"1,204","1,327",0.91,0.62,+97,-211,-1,-115,10.2,+19,"1,319",0,2,0.15
'26/01/13,51.8,52.5,51.5,51.7,+0.1,+0.19,1.94,"2,585","1,897",1.36,1.34,+461,-191,-3.07,+267,10.2,-87,"1,300",0,2,0.15
'26/01/12,51.5,51.8,51.4,51.6,+0.4,+0.78,0.78,"1,002",987,1.01,0.52,+429,-101,+5,+333,10.1,-67,"1,387",0,2,0.14
'26/01/09,51.3,51.7,51.2,51.2,-0.1,-0.19,0.97,830,800,1.04,0.43,-41,-50,-6,-97,10.1,+41,"1,454",0,2,0.14
'26/01/08,51.3,51.7,51.3,51.3,-0.1,-0.19,0.78,"1,035",874,1.18,0.53,+226,-197,-4,+25,10.1,-3,"1,413",0,2,0.14
'26/01/07,51.2,51.6,51.1,51.4,+0.2,+0.39,0.98,826,888,0.93,0.42,+201,-95,-0.5,+105,10,-3,"1,416",0,2,0.14
'26/01/06,51.5,51.5,51,51.2,-0.2,-0.39,0.97,"1,272","1,275",1,0.65,-377,-59,0,-436,10,-6,"1,419",+1,2,0.14
'26/01/05,51.5,51.6,51.2,51.4,+0.1,+0.19,0.78,"1,272","1,178",1.08,0.65,+337,-62,-5.84,+269,10,-7,"1,425",0,1,0.07
'26/01/02,51,51.5,51,51.3,+0.4,+0.79,0.98,796,828,0.96,0.41,+240,-138,-5.77,+96.2,10,-10,"1,432",+1,1,0.07
'25/12/31,51,51.3,50.9,50.9,-0.1,-0.2,0.78,"1,046",950,1.1,0.53,-199,-25,-3,-227,9.99,-9,"1,442",0,0,0
'25/12/30,51.4,51.4,51,51,-0.4,-0.78,0.78,681,754,0.9,0.35,-50,-74,+1.02,-123,10,-21,"1,451",0,0,0
'25/12/29,51,51.5,51,51.4,+0.7,+1.38,0.99,943,972,0.97,0.48,+186,+148,+22.2,+356,10,-13,"1,472",0,0,0
'25/12/26,50.9,51.1,50.7,50.7,-0.2,-0.39,0.79,"1,589","1,615",0.98,0.81,-216,-382,+0.82,-597,10,+12,"1,485",0,0,0
'25/12/24,50.9,51.3,50.9,50.9,0,0,0.79,953,"1,128",0.84,0.49,-442,-186,-0.44,-629,10,+11,"1,473",-2,0,0
'25/12/23,51.1,51.4,50.9,50.9,-0.2,-0.39,0.98,"1,073",937,1.15,0.55,-156,-117,-4.22,-277,10.1,+173,"1,462",0,2,0.14
'25/12/22,51.6,51.6,51,51.1,-0.5,-0.97,1.16,"1,811","2,086",0.87,0.93,-557,+251,+3.21,-303,10.1,+13,"1,289",-2,2,0.16
'25/12/19,50.7,51.7,50.6,51.6,+1,+1.98,2.17,"2,757","1,466",1.88,1.42,+225,+229,+5,+459,10.2,+2,"1,276",+2,4,0.31
'25/12/18,50.8,51.1,50.6,50.6,-0.2,-0.39,0.98,"2,563","2,006",1.28,1.3,-896,+265,+25.5,-606,10.2,+5,"1,274",0,2,0.16
'25/12/17,51.3,51.5,50.8,50.8,-0.4,-0.78,1.37,"2,745","2,154",1.27,1.4,"-1,713",+323,-18.9,"-1,409",10.2,-9,"1,269",0,2,0.16
'25/12/16,51.4,51.4,50.6,51.2,-0.2,-0.39,1.56,"3,265","2,928",1.11,1.67,"-1,868",+319,-51.6,"-1,601",10.4,-35,"1,278",0,2,0.16
'25/12/15,51.6,51.8,51.4,51.4,-0.1,-0.19,0.78,924,931,0.99,0.48,-221,-144,+4.03,-361,10.6,-2,"1,313",0,2,0.15
'25/12/12,51.9,51.9,51.5,51.5,0,0,0.78,958,841,1.14,0.49,-75,-86,-3.52,-165,10.7,-7,"1,315",0,2,0.15
'25/12/11,52,52,51.4,51.5,-0.1,-0.19,1.16,"1,002",971,1.03,0.52,-102,-25,-14,-141,10.7,-10,"1,322",0,2,0.15
'25/12/10,51.7,51.9,51.6,51.6,-0.2,-0.39,0.58,628,701,0.9,0.32,-235,-33,-0.45,-269,10.7,+6,"1,332",0,2,0.15
'25/12/09,51.8,51.9,51.3,51.8,0,0,1.16,"1,359","1,242",1.09,0.7,-350,-18,-3.2,-371,10.8,-3,"1,326",0,2,0.15
'25/12/08,52.8,52.8,51.8,51.8,-0.8,-1.52,1.9,"1,184","1,273",0.93,0.62,-670,-42,+5.94,-706,10.8,+37,"1,329",0,2,0.15
'25/12/05,52.7,52.7,52.2,52.6,+0.3,+0.57,0.96,596,636,0.94,0.31,-53,-6,+9.42,-49.6,10.9,-4,"1,292",0,2,0.15
'25/12/04,52.5,52.8,52.3,52.3,-0.1,-0.19,0.95,933,927,1.01,0.49,+36,-48,+3.3,-8.7,10.9,-3,"1,296",-1,2,0.15
'25/12/03,52.9,52.9,52.4,52.4,-0.3,-0.57,0.95,728,807,0.9,0.38,-109,-144,+8,-245,10.9,+1,"1,299",0,3,0.23
'25/12/02,52.7,52.7,52.3,52.7,+0.2,+0.38,0.76,812,"1,063",0.76,0.43,-19.5,-7,+59,+32.5,10.9,-4,"1,298",0,3,0.23
'25/12/01,53,53.5,52.4,52.5,+0.5,+0.96,2.12,"1,279","1,154",1.11,0.67,-4,0,-1.83,-5.83,10.9,-3,"1,302",-1,3,0.23
'25/11/28,52.1,52.4,52,52,0,0,0.77,945,804,1.17,0.49,-90.6,0,+40.3,-50.3,10.9,-1,"1,305",+1,4,0.31
'25/11/27,52,52.3,51.7,52,-0.3,-0.57,1.15,"1,821","2,111",0.86,0.94,-28,+2,-3.67,-29.7,11,-5,"1,306",0,3,0.23
'25/11/26,51.8,52.4,51.8,52.3,+0.5,+0.97,1.16,"1,106",901,1.23,0.58,+508,-184,+5.59,+330,11,-3,"1,311",-1,3,0.23
'25/11/25,51.5,52,51.4,51.8,+0.3,+0.58,1.17,703,742,0.95,0.36,+106,+13,-2.53,+116,10.9,-20,"1,314",0,4,0.3
'25/11/24,51.2,51.8,51.2,51.5,+0.4,+0.78,1.17,"1,145",853,1.34,0.59,+27.9,+26,+32.6,+86.5,10.9,-12,"1,334",0,4,0.3
'25/11/21,51.7,51.9,51.1,51.1,-0.6,-1.16,1.55,"1,629","1,429",1.14,0.84,-327,+10,+27.5,-290,10.9,+3,"1,346",+1,4,0.3
'25/11/20,51.2,51.9,51.2,51.7,+0.7,+1.37,1.37,"1,098",895,1.23,0.57,+120,+48,+8.39,+176,10.9,-36,"1,343",-1,3,0.22
'25/11/19,52.2,52.2,51,51,-0.8,-1.54,2.32,"2,914","2,805",1.04,1.49,"-1,222",+96,+72.5,"-1,054",11,-365,"1,379",-7,4,0.29
'25/11/18,52.1,52.5,51.4,51.8,-0.6,-1.15,2.1,"2,584","2,212",1.17,1.34,"-1,072",+157,-4.89,-920,11.1,-72,"1,744",+7,11,0.63
'25/11/17,52.9,52.9,52.1,52.4,-0.1,-0.19,1.52,"1,500","1,409",1.06,0.79,+69.2,-55,-27,-12.8,11.2,-30,"1,816",0,4,0.22
'25/11/14,52.7,53.2,52,52.5,-0.2,-0.38,2.28,"1,083","1,110",0.98,0.57,+87,+7,-9.91,+84.1,11.2,-25,"1,846",0,4,0.22
'25/11/13,53.6,53.6,52.7,52.7,-0.6,-1.13,1.69,"1,250","1,998",0.63,0.66,-221,-43,-41.2,-305,11.2,-44,"1,871",0,4,0.21
'25/11/12,53,53.5,53,53.3,+0.5,+0.95,0.95,"1,808","1,533",1.18,0.96,+984,-55,-64.8,+864,11.3,+5,"1,915",-1,4,0.21
'25/11/11,53.1,53.4,52.6,52.8,-0.2,-0.38,1.51,"1,476","1,361",1.08,0.78,+457,-1,-66.2,+390,11.2,-26,"1,910",+1,5,0.26
'25/11/10,53.9,54.3,52.8,53,-0.7,-1.3,2.79,"2,326","2,133",1.09,1.24,-115,-103,+4.24,-214,11.1,-103,"1,936",0,4,0.21
'25/11/07,53.5,54,53.3,53.7,0,0,1.3,"1,651","1,485",1.11,0.89,+686,+17,-17.9,+685,11.2,-30,"2,039",-5,4,0.2
'25/11/06,53.7,53.7,53.2,53.7,+0.1,+0.19,0.93,"1,893","1,551",1.22,1.01,+565,+18,-17.8,+565,11,-13,"2,069",0,9,0.43
'25/11/05,53.6,53.6,52.9,53.6,0,0,1.31,"1,887","1,595",1.18,1.01,+215,+53,-41.9,+226,11,+59,"2,082",0,9,0.43
'25/11/04,52.8,53.7,52.8,53.6,+0.9,+1.71,1.71,"3,237","2,383",1.36,1.73,"+1,429",-59,+22.7,"+1,393",11.1,-85,"2,023",0,9,0.44
'25/11/03,52.1,53,52.1,52.7,+0.7,+1.35,1.73,"2,390","1,986",1.2,1.26,+476,-58,+10.8,+429,10.9,+368,"2,108",-1,9,0.43
'25/10/31,52.3,52.5,51.9,52,0,0,1.15,"2,074","1,771",1.17,1.08,-345,-12,+13.4,-344,11,-3,"1,740",-1,10,0.57
'25/10/30,52.2,52.3,51.6,52,-0.2,-0.38,1.34,"2,841","2,191",1.3,1.48,+449,-204,-77,+168,11,-65,"1,743",-77,11,0.63
'25/10/29,53,53.1,51.7,52.2,-1,-1.88,2.63,"5,039","4,454",1.13,2.63,"-1,382",-417,-59.5,"-1,858",10.9,-98,"1,808",-46,88,4.87
'25/10/28,54.6,54.6,52.5,53.2,-1.6,-2.92,3.83,"5,413","4,355",1.24,2.88,-504,-101,-84,-689,11,-365,"1,906",-13,134,7.03
'25/10/27,56.5,56.6,54.6,54.8,+0.6,+1.11,3.69,"9,786","11,551",0.85,5.4,"-1,640",-102,-64.1,"-1,806",10.9,-60,"2,271",-13,147,6.47
'25/10/23,58,59.8,54.1,54.2,-1.3,-2.34,10.3,"34,982","25,921",1.35,19.9,"-3,896",+5,-223,"-4,114",11.1,+210,"2,331",+106,160,6.86
'25/10/22,51.6,56,50.6,55.5,+3.9,+7.56,10.5,"20,770","14,377",1.44,11.3,"-3,347",-111,+540,"-2,918",11.4,"+1,187","2,121",+42,54,2.55
'25/10/21,51.8,52.1,51.6,51.6,0,0,0.97,"1,202","1,331",0.9,0.62,+303,-412,+12,-97.1,11.8,-12,934,0,12,1.28
'25/10/20,51.9,52.2,51.3,51.6,+0.1,+0.19,1.75,"1,350","1,189",1.14,0.7,-207,-283,+1.58,-488,11.8,+18,946,0,12,1.27
'25/10/17,51.5,52.1,51.5,51.5,0,0,1.17,"2,341","1,668",1.4,1.21,+745,"-1,150",+13.8,-391,11.8,-3,928,0,12,1.29
'25/10/16,52.4,52.5,51.5,51.5,-0.8,-1.53,1.91,"2,461","2,511",0.98,1.27,"-1,635",0,-28.7,"-1,664",11.7,-69,931,-6,12,1.29
'25/10/15,51.7,52.3,51.4,52.3,+0.7,+1.36,1.74,"2,475","1,385",1.79,1.29,-66,-146,-24.3,-236,11.9,-8,"1,000",+5,18,1.8
'25/10/14,51.4,52.1,51.4,51.6,+0.2,+0.39,1.36,"2,582","1,829",1.41,1.34,-76.5,-230,+67,-240,11.9,-50,"1,008",+1,13,1.29
'25/10/13,51.3,51.5,50.4,51.4,0,0,2.14,"1,780","1,682",1.06,0.91,+69,-354,+0.96,-284,11.9,+9,"1,058",0,12,1.13
'25/10/09,51.2,51.6,51.1,51.4,+0.2,+0.39,0.98,961,984,0.98,0.49,+235,-302,+0.03,-67.3,11.8,+7,"1,049",0,12,1.14
'25/10/08,51.3,51.7,51.2,51.2,-0.1,-0.19,0.97,"1,438","1,420",1.01,0.74,+388,-668,+2.34,-278,11.8,0,"1,042",0,12,1.15
'25/10/07,51.3,51.5,51.2,51.3,0,0,0.58,"1,386","1,253",1.11,0.71,+147,-340,+33.9,-159,11.8,+10,"1,042",0,12,1.15
'25/10/03,51.1,51.6,51.1,51.3,+0.2,+0.39,0.98,"1,311","1,128",1.16,0.67,+81,-318,-2.2,-239,11.8,-26,"1,032",0,12,1.16
'25/10/02,51.3,51.4,50.9,51.1,-0.2,-0.39,0.97,"1,803","1,951",0.92,0.92,-241,+2,-355,-594,11.8,+25,"1,058",0,12,1.13
'25/10/01,51.8,52,51.3,51.3,-0.5,-0.97,1.35,"1,900","2,431",0.78,0.98,+0.4,-320,-445,-764,11.8,-23,"1,033",0,12,1.16
'25/09/30,52,52.3,51.7,51.8,+0.1,+0.19,1.16,"2,072","1,619",1.28,1.07,+341,-619,-195,-473,11.8,+15,"1,056",0,12,1.14
'25/09/26,52.2,52.3,51.7,51.7,-0.5,-0.96,1.15,"2,279","2,449",0.93,1.18,-853,-344,-95.6,"-1,293",11.8,-34,"1,041",0,12,1.15
'25/09/25,52.5,52.7,52,52.2,+0.2,+0.38,1.35,"1,351","1,307",1.03,0.71,-549,+16,-178,-711,11.8,+64,"1,075",0,12,1.12
'25/09/24,52,52.6,52,52,0,0,1.15,"1,626","1,425",1.14,0.85,+449,-752,-51,-354,11.9,+99,"1,011",-2,12,1.19
'25/09/23,52.6,52.6,51.8,52,-0.7,-1.33,1.52,"2,318","2,655",0.87,1.21,-548,-367,-6.98,-922,11.9,+13,912,+1,14,1.54
'25/09/22,53,53.1,52.5,52.7,-0.2,-0.38,1.13,"1,612","1,687",0.96,0.85,-102,-435,-53.5,-590,11.9,-1,899,0,13,1.45
'25/09/19,52.4,52.9,52.2,52.9,+0.5,+0.95,1.34,"2,024","1,412",1.43,1.06,+566,-989,-40.1,-463,11.9,+20,900,0,13,1.44
